CLIENT,COMPANYCODE,HOUSEBANK,HOUSEBANKACCOUNT,BANKSTATEMENT,BANKSTATEMENTSHORTID,BANKSTATEMENTITEM,FISCALYEAR,POSTINGDATE,VALUEDATE,CURRENCY,TRANSACTIONCURRENCY,AMOUNTINTRANSACTIONCURRENCY,DEBITCREDITCODE,PARTNERBANKCOUNTRY,PARTNERBANK,PARTNERBANKSWIFTCODE,PARTNERBANKACCOUNT,PARTNERBANKIBAN,BUSINESSPARTNERNAME,BANKLEDGERDOCUMENT,SUBLEDGERDOCUMENT,DOCUMENTREFERENCEID,PAYMENTADVICEACCOUNTTYPE,PAYMENTADVICEACCOUNT,ASSIGNMENTREFERENCE,PAYMENTREFERENCE,BANKSTATEMENTPOSTINGRULE,SUBLEDGERONACCOUNTDOCUMENT,PAYMENTADVICE,MEMOLINE,PAYMENTTRANSACTIONDESCRIPTION,CHEQUE,BANKPOSTINGKEY,PAYMENTTRANSACTION,PAYMENTEXTERNALTRANSACTYPE
"910","F001","DBK1","DB01","57297","00067895","00001","2017","20170130","20170130","EUR","EUR","59.00","H","","","","","","","0100027972","0100027973","","D","C0001","","","0001","","","110/085477
","","","","",""
"910","F001","DBK1","DB01","57301","00067899","00001","2017","20170130","20170130","EUR","EUR","35.00","H","","","","","","","0100027980","0100027981","","D","C0001","","","0001","","","1100085481
","","","","",""
"910","F001","DBK1","DB01","57308","00067906","00001","2017","20170130","20170130","EUR","EUR","78.00","H","","","","","","","0100027994","0100027995","","D","C0001","","","0001","","","1100085488
","","","","",""
"910","F001","DBK1","DB01","57316","00067914","00001","2017","20170130","20170130","EUR","EUR","84.00","H","","","","","","","0100028010","0100028011","","D","C0001","","","0001","","","1100085496
","","","","",""
"910","F001","DBK1","DB01","57325","00067923","00001","2017","20170130","20170130","EUR","EUR","99.00","H","","","","","","","0100028028","0100028029","","D","C0001","","","0001","","","1100085506
","","","","",""
"910","F001","DBK1","DB01","49915","00060507","00001","2017","20170127","20170127","EUR","EUR","1190.00","H","","","","","","","0100013677","0100013680","","D","C0001","","","0001","","","","","","","",""
"910","F001","DBK1","DB01","49939","00060532","00001","2017","20170127","20170127","EUR","EUR","90.00","H","","","","","","","0100013761","0100013762","","D","C0001","","","0001","","","1100074845
","","","","",""
"910","F001","DBK1","DB01","49944","00060537","00001","2017","20170127","20170127","EUR","EUR","33.00","H","","","","","","","0100013771","0100013772","","D","C0001","","","0001","","","110/074857
","","","","",""
"910","F001","DBK1","DB01","49966","00060559","00001","2017","20170127","20170127","EUR","EUR","99.00","H","","","","","","","0100013815","0100013816","","D","C0001","","","0001","","","1/00074885
","","","","",""
"910","F001","DBK1","DB01","49970","00060563","00001","2017","20170127","20170127","EUR","EUR","20.00","H","","","","","","","0100013823","0100013824","","D","C0001","","","0001","","","1/100074890
","","","","",""
"910","F001","DBK1","DB01","49973","00060566","00001","2017","20170127","20170127","EUR","EUR","51.00","H","","","","","","","0100013829","0100013830","","D","C0001","","","0001","","","1/100074895
","","","","",""
"910","F001","DBK1","DB01","49998","00060591","00001","2017","20170127","20170127","EUR","EUR","70.00","H","","","","","","","0100013879","0100013880","","D","C0001","","","0001","","","11/00074931
","","","","",""
"910","F001","DBK1","DB01","50071","00060664","00001","2017","20170127","20170127","EUR","EUR","92.00","H","","","","","","","0100013974","0100013975","","D","C0001","","","0001","","","11/00075982
","","","","",""
"910","F001","DBK1","DB01","50076","00060669","00001","2017","20170127","20170127","EUR","EUR","80.00","H","","","","","","","0100013981","0100013982","","D","C0001","","","0001","","","1100075987
","","","","",""
"910","F001","DBK1","DB01","50093","00060686","00001","2017","20170127","20170127","EUR","EUR","50.00","H","","","","","","","0100014011","0100014012","","D","C0001","","","0001","","","1 100076009
","","","","",""
"910","F001","DBK1","DB01","50096","00060689","00001","2017","20170127","20170127","EUR","EUR","71.00","H","","","","","","","0100014017","0100014018","","D","C0001","","","0001","","","1100076012
","","","","",""
"910","F001","DBK1","DB01","50128","00060721","00001","2017","20170127","20170127","EUR","EUR","12.00","H","","","","","","","0100014061","0100014062","","D","C0001","","","0001","","","1100076049
","","","","",""
"910","F001","DBK1","DB01","50143","00060736","00001","2017","20170127","20170127","EUR","EUR","97.00","H","","","","","","","0100014089","0100014090","","D","C0001","","","0001","","","1100076067
","","","","",""
"910","F001","DBK1","DB01","50142","00060735","00001","2017","20170127","20170127","EUR","EUR","2380.00","H","","","","","","","0100014088","0100014091","","D","C0001","","","0001","","","1100077 1100077
","","","","",""
"910","F001","DBK1","DB01","50179","00060772","00001","2017","20170127","20170127","EUR","EUR","21.00","H","","","","","","","0100014150","0100014151","","D","C0001","","","0001","","","1100076101
","","","","",""
"910","F001","DBK1","DB01","50196","00060789","00001","2017","20170127","20170127","EUR","EUR","34.00","H","","","","","","","0100014174","0100014175","","D","C0001","","","0001","","","1100076118
","","","","",""
"910","F001","DBK1","DB01","50202","00060795","00001","2017","20170127","20170127","EUR","EUR","29.00","H","","","","","","","0100014185","0100014186","","D","C0001","","","0001","","","110 0076127
","","","","",""
