BANKSTATEMENTSHORTID,BANKSTATEMENTITEM,ACCOUNTINGDOCUMENT,ACCOUNTINGDOCUMENTITEM,FISCALYEAR,CLEARINGACCOUNTINGDOCUMENT,COMPANYCODE,CLEARINGDOCFISCALYEAR,ISRESIDUAL,BANKSTATEMENTPROCESSMETHOD,ISRULESPROPOSED
"00067894","00001","1100085476","001","2016","0100027971","F001","2017","N","2","N"
"00067895","00001","1100085477","001","2016","0100027973","F001","2017","N","2","N"
"00067896","00001","1100085478","001","2016","0100027975","F001","2017","N","2","N"
"00067897","00001","1100085479","001","2016","0100027977","F001","2017","N","2","N"
"00067898","00001","1100085480","001","2016","0100027979","F001","2017","N","2","N"
"00067899","00001","1100085481","001","2016","0100027981","F001","2017","N","2","N"
"00067900","00001","1100085482","001","2016","0100027983","F001","2017","N","2","N"
"00067901","00001","1100085483","001","2016","0100027985","F001","2017","N","2","N"
"00067902","00001","1100085484","001","2016","0100027987","F001","2017","N","2","N"
"00067903","00001","1100085485","001","2016","0100027989","F001","2017","N","2","N"
"00067904","00001","1100085486","001","2016","0100027991","F001","2017","N","2","N"
"00067905","00001","1100085487","001","2016","0100027993","F001","2017","N","2","N"
"00067906","00001","1100085488","001","2016","0100027995","F001","2017","N","2","N"
"00067907","00001","1100085489","001","2016","0100027997","F001","2017","N","2","N"
"00067908","00001","1100085490","001","2016","0100027999","F001","2017","N","2","N"
"00067909","00001","1100085491","001","2016","0100028001","F001","2017","N","2","N"
"00067910","00001","1100085492","001","2016","0100028003","F001","2017","N","2","N"
"00067911","00001","1100085493","001","2016","0100028005","F001","2017","N","2","N"
"00067912","00001","1100085494","001","2016","0100028007","F001","2017","N","2","N"
"00067913","00001","1100085495","001","2016","0100028009","F001","2017","N","2","N"
"00067914","00001","1100085496","001","2016","0100028011","F001","2017","N","2","N"
"00067915","00001","1100085497","001","2016","0100028013","F001","2017","N","2","N"
"00067916","00001","1100085498","001","2016","0100028015","F001","2017","N","2","N"
"00067917","00001","1100085499","001","2016","0100028017","F001","2017","N","2","N"
"00067918","00001","1100085501","001","2016","0100028019","F001","2017","N","2","N"
"00067919","00001","1100085502","001","2016","0100028021","F001","2017","N","2","N"
"00067920","00001","1100085503","001","2016","0100028023","F001","2017","N","2","N"
"00067921","00001","1100085504","001","2016","0100028025","F001","2017","N","2","N"
"00067922","00001","1100085505","001","2016","0100028027","F001","2017","N","2","N"
"00067923","00001","1100085506","001","2016","0100028029","F001","2017","N","2","N"
"00067924","00001","1100085508","001","2016","0100028031","F001","2017","N","2","N"
"00067925","00001","1100085510","001","2016","0100028033","F001","2017","N","2","N"
"00067926","00001","1100085511","001","2016","0100028035","F001","2017","N","2","N"
"00067927","00001","1100085512","001","2016","0100028037","F001","2017","N","2","N"
"00067928","00001","1100085513","001","2016","0100028039","F001","2017","N","2","N"
"00067929","00001","1100085514","001","2016","0100028041","F001","2017","N","2","N"
"00060506","00001","1100077212","001","2017","0100013676","F001","2017","N","2","N"
"00060507","00001","1100077213","001","2017","0100013680","F001","2017","N","2","N"
"00060508","00001","1100077214","001","2017","0100013684","F001","2017","N","2","N"
"00060514","00001","1100077221","001","2017","0100013708","F001","2017","N","2","N"
"00060514","00001","1100077222","001","2017","0100013708","F001","2017","N","2","N"
"00060526","00001","1100077227","001","2017","0100013740","F001","2017","N","2","N"
"00060529","00001","1100074836","001","2016","0100013756","F001","2017","N","2","N"
"00060530","00001","1100074843","001","2016","0100013758","F001","2017","N","2","N"
"00060531","00001","1100074844","001","2016","0100013760","F001","2017","N","2","N"
"00060532","00001","1100074845","001","2016","0100013762","F001","2017","N","2","N"
"00060533","00001","1100074846","001","2016","0100013764","F001","2017","N","2","N"
"00060534","00001","1100074850","001","2016","0100013766","F001","2017","N","2","N"
"00060535","00001","1100074852","001","2016","0100013768","F001","2017","N","2","N"
"00060536","00001","1100074853","001","2016","0100013770","F001","2017","N","2","N"
"00060537","00001","1100074857","001","2016","0100013772","F001","2017","N","2","N"
"00060538","00001","1100074858","001","2016","0100013774","F001","2017","N","2","N"
"00060539","00001","1100074859","001","2016","0100013776","F001","2017","N","2","N"
"00060540","00001","1100074861","001","2016","0100013778","F001","2017","N","2","N"
"00060541","00001","1100074862","001","2016","0100013780","F001","2017","N","2","N"
"00060542","00001","1100074863","001","2016","0100013782","F001","2017","N","2","N"
"00060543","00001","1100074865","001","2016","0100013784","F001","2017","N","2","N"
"00060544","00001","1100074866","001","2016","0100013786","F001","2017","N","2","N"
"00060545","00001","1100074867","001","2016","0100013788","F001","2017","N","2","N"
"00060546","00001","1100074868","001","2016","0100013790","F001","2017","N","2","N"
"00060547","00001","1100074869","001","2016","0100013792","F001","2017","N","2","N"
"00060548","00001","1100074871","001","2016","0100013794","F001","2017","N","2","N"
"00060549","00001","1100074872","001","2016","0100013796","F001","2017","N","2","N"
"00060550","00001","1100074876","001","2016","0100013798","F001","2017","N","2","N"
"00060551","00001","1100074877","001","2016","0100013800","F001","2017","N","2","N"
"00060552","00001","1100074878","001","2016","0100013802","F001","2017","N","2","N"
"00060553","00001","1100074879","001","2016","0100013804","F001","2017","N","2","N"
"00060554","00001","1100074880","001","2016","0100013806","F001","2017","N","2","N"
"00060555","00001","1100074881","001","2016","0100013808","F001","2017","N","2","N"
"00060556","00001","1100074882","001","2016","0100013810","F001","2017","N","2","N"
"00060557","00001","1100074883","001","2016","0100013812","F001","2017","N","2","N"
"00060558","00001","1100074884","001","2016","0100013814","F001","2017","N","2","N"
"00060559","00001","1100074885","001","2016","0100013816","F001","2017","N","2","N"
"00060560","00001","1100074886","001","2016","0100013818","F001","2017","N","2","N"
"00060561","00001","1100074887","001","2016","0100013820","F001","2017","N","2","N"
"00060562","00001","1100074889","001","2016","0100013822","F001","2017","N","2","N"
"00060563","00001","1100074890","001","2016","0100013824","F001","2017","N","2","N"
"00060564","00001","1100074892","001","2016","0100013826","F001","2017","N","2","N"
"00060565","00001","1100074894","001","2016","0100013828","F001","2017","N","2","N"
"00060566","00001","1100074895","001","2016","0100013830","F001","2017","N","2","N"
"00060567","00001","1100074896","001","2016","0100013832","F001","2017","N","2","N"
"00060568","00001","1100074900","001","2016","0100013834","F001","2017","N","2","N"
"00060569","00001","1100074901","001","2016","0100013836","F001","2017","N","2","N"
"00060570","00001","1100074903","001","2016","0100013838","F001","2017","N","2","N"
"00060571","00001","1100074904","001","2016","0100013840","F001","2017","N","2","N"
"00060572","00001","1100074905","001","2016","0100013842","F001","2017","N","2","N"
"00060573","00001","1100074906","001","2016","0100013844","F001","2017","N","2","N"
"00060574","00001","1100074908","001","2016","0100013846","F001","2017","N","2","N"
"00060575","00001","1100074910","001","2016","0100013848","F001","2017","N","2","N"
"00060576","00001","1100074911","001","2016","0100013850","F001","2017","N","2","N"
"00060577","00001","1100074912","001","2016","0100013852","F001","2017","N","2","N"
"00060578","00001","1100074914","001","2016","0100013854","F001","2017","N","2","N"
"00060579","00001","1100074916","001","2016","0100013856","F001","2017","N","2","N"
"00060580","00001","1100074917","001","2016","0100013858","F001","2017","N","2","N"
"00060581","00001","1100074918","001","2016","0100013860","F001","2017","N","2","N"
"00060582","00001","1100074919","001","2016","0100013862","F001","2017","N","2","N"
"00060583","00001","1100074921","001","2016","0100013864","F001","2017","N","2","N"
"00060584","00001","1100074922","001","2016","0100013866","F001","2017","N","2","N"
