CLIENT,COMPANYCODE,FISCALYEAR,ACCOUNTINGDOCUMENT,ACCOUNTINGDOCUMENTITEM,ACCOUNTINGDOCUMENTTYPE,POSTINGDATE,DOCUMENTREFERENCEID,ASSIGNMENTREFERENCE,PAYMENTREFERENCE,BILLINGDOCUMENT,CLEARINGDOCFISCALYEAR,CLEARINGACCOUNTINGDOCUMENT,CLEARINGDATE,COMPANYCODECURRENCY,TRANSACTIONCURRENCY,AMOUNTINCOMPANYCODECURRENCY,AMOUNTINTRANSACTIONCURRENCY,TAXAMOUNTINCOCODECRCY,TAXAMOUNT,CASHDISCOUNTAMTINCOCODECRCY,CASHDISCOUNTAMOUNT,DEBITCREDITCODE,DOCUMENTITEMTEXT,FINANCIALACCOUNTTYPE,INVOICEREFERENCE,INVOICEREFERENCEFISCALYEAR,INVOICEITEMREFERENCE,FOLLOWONDOCUMENTTYPE,DEBTOR,ORGANIZATIONBPNAME1,ORGANIZATIONBPNAME2,ORGANIZATIONBPNAME3,ORGANIZATIONBPNAME4,CITYNAME,COUNTRY,PARTNERCOMPANY
"910","F001","2017","1100077212","001","DR","20170127","","","","","2017","0100013676","20170127","EUR","USD","1190.00","952.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2017","1100077213","001","DR","20170127","","","","","2017","0100013680","20170127","EUR","USD","1487.50","1190.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2017","1100077214","001","DR","20170127","","","","","2017","0100013684","20170127","EUR","EUR","1190.00","1190.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2017","1100077221","001","DR","20170127","","","","","2017","0100013708","20170127","EUR","EUR","150.00","150.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2017","1100077222","001","DR","20170127","","","","","2017","0100013708","20170127","EUR","EUR","200.00","200.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2017","1100077227","001","DR","20170127","","","","","2017","0100013740","20170127","EUR","EUR","1190.00","1190.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2016","1100074836","001","DR","20161210","","","","","2017","0100013756","20170127","EUR","EUR","20.00","20.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2016","1100074843","001","DR","20161222","","","","","2017","0100013758","20170127","EUR","EUR","75.00","75.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0003","Buff and Sand PLC","","","","Manchester","GB",""
"910","F001","2016","1100074844","001","DR","20161225","","","","","2017","0100013760","20170127","EUR","EUR","95.00","95.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0002","Cool Werkzeug GmbH","","","","Berlin","DE",""
"910","F001","2016","1100074845","001","DR","20161111","","","","","2017","0100013762","20170127","EUR","EUR","90.00","90.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0003","Buff and Sand PLC","","","","Manchester","GB",""
"910","F001","2016","1100074846","001","DR","20161029","","","","","2017","0100013764","20170127","EUR","EUR","43.00","43.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0001","Bohr und Hammer GmbH","Tools","","","Berlin","DE",""
"910","F001","2016","1100074850","001","DR","20161206","","","","","2017","0100013766","20170127","EUR","EUR","97.00","97.00","0.00","0.00","0.00","0.00","S","","D","","0000","000","","C0002","Cool Werkzeug GmbH","","","","Berlin","DE",""
